index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
53,ATL,LHR,19:20:00,6,13:20:00,08:40:00,0,VS104,VS,Virgin Atlantic,103422,226226,619106
54,ATL,LHR,19:20:00,1,13:20:00,08:40:00,2,VS104,VS,Virgin Atlantic,103422,226226,429659
55,ATL,LHR,17:45:00,6,13:20:00,07:05:00,0,VS4044,VS,Virgin Atlantic,103422,319010,470188
56,ATL,LHR,19:20:00,0,13:20:00,08:40:00,1,VS104,VS,Virgin Atlantic,103422,222552,518974
57,ATL,LHR,19:20:00,5,13:20:00,08:40:00,6,VS104,VS,Virgin Atlantic,108801,230513,539899
58,ATL,LHR,17:45:00,3,13:20:00,07:05:00,4,VS4044,VS,Virgin Atlantic,108801,228683,455621
59,ATL,LHR,17:45:00,5,13:20:00,07:05:00,6,VS4044,VS,Virgin Atlantic,108801,288924,491647
60,ATL,LHR,19:20:00,3,13:20:00,08:40:00,4,VS104,VS,Virgin Atlantic,108801,228683,498389
61,ATL,LHR,17:45:00,0,13:20:00,07:05:00,1,VS4044,VS,Virgin Atlantic,114178,300982,599379
62,ATL,LHR,19:20:00,4,13:20:00,08:40:00,5,VS104,VS,Virgin Atlantic,119557,228683,781949
63,ATL,LHR,21:50:00,5,13:20:00,11:10:00,6,DL32,DL,Delta Airlines,159741,513872,847219
64,ATL,LHR,19:20:00,5,13:20:00,08:40:00,6,DL5998,DL,Delta Airlines,159741,230513,751433
65,ATL,LHR,17:45:00,5,13:20:00,07:05:00,6,DL30,DL,Delta Airlines,159741,525274,740131
66,ATL,LHR,19:20:00,0,13:20:00,08:40:00,1,DL5998,DL,Delta Airlines,160772,433111,661553
67,ATL,LHR,17:45:00,1,13:20:00,07:05:00,2,DL30,DL,Delta Airlines,160772,559685,787109
68,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,DL32,DL,Delta Airlines,160772,485974,644153
69,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,DL32,DL,Delta Airlines,160772,513399,648397
70,ATL,LHR,19:20:00,1,13:20:00,08:40:00,2,DL5998,DL,Delta Airlines,160772,226226,918047
71,ATL,LHR,17:45:00,0,13:20:00,07:05:00,1,DL30,DL,Delta Airlines,160772,448429,648397
72,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,VS4010,VS,Virgin Atlantic,161327,559392,809700
73,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,VS4010,VS,Virgin Atlantic,161327,464739,850909
74,ATL,LHR,19:20:00,6,13:20:00,08:40:00,0,DL5998,DL,Delta Airlines,161327,226226,844896
75,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,VS3993,VS,Virgin Atlantic,104234,243873,478152
76,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,VS3993,VS,Virgin Atlantic,107990,243873,487852
77,ATL,CDG,22:05:00,2,14:15:00,12:20:00,3,VS3993,VS,Virgin Atlantic,107990,244810,605290
78,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,VS3993,VS,Virgin Atlantic,107990,281130,625056
79,ATL,CDG,15:30:00,0,14:40:00,06:10:00,1,VS3970,VS,Virgin Atlantic,107990,343584,625056
80,ATL,CDG,15:30:00,2,14:40:00,06:10:00,3,VS3970,VS,Virgin Atlantic,107990,350412,625056
81,ATL,CDG,15:30:00,1,14:40:00,06:10:00,2,VS3970,VS,Virgin Atlantic,107990,243873,483769
82,ATL,CDG,15:30:00,6,14:40:00,06:10:00,0,VS3970,VS,Virgin Atlantic,107990,243873,572479
83,ATL,CDG,22:05:00,5,14:15:00,12:20:00,6,VS3993,VS,Virgin Atlantic,113462,248104,609328
84,ATL,CDG,22:05:00,3,14:15:00,12:20:00,4,VS3993,VS,Virgin Atlantic,113462,249054,626448
85,ATL,CDG,15:30:00,5,14:40:00,06:10:00,6,VS3970,VS,Virgin Atlantic,113462,347211,488454
86,ATL,CDG,15:30:00,3,14:40:00,06:10:00,4,VS3970,VS,Virgin Atlantic,113462,388944,491750
87,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,DL84,DL,Delta Airlines,160536,243873,687056
88,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,DL8672,DL,Delta Airlines,160536,243873,661763
89,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,AF689,AF,Air France,161330,552107,662972
90,ATL,CDG,16:35:00,6,14:30:00,07:05:00,0,DL8517,DL,Delta Airlines,166322,243873,661763
91,ATL,CDG,15:30:00,6,14:40:00,06:10:00,0,DL82,DL,Delta Airlines,166322,243873,985667
92,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,DL84,DL,Delta Airlines,166463,243873,776890
93,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,DL84,DL,Delta Airlines,166463,578257,775423
94,ATL,CDG,16:35:00,1,14:30:00,07:05:00,2,DL8517,DL,Delta Airlines,166463,243873,684183
95,ATL,CDG,20:05:00,2,14:30:00,10:35:00,3,DL8672,DL,Delta Airlines,166463,244810,620812
96,ATL,CDG,16:35:00,0,14:30:00,07:05:00,1,DL8517,DL,Delta Airlines,166463,449410,710962
97,ATL,CDG,16:35:00,2,14:30:00,07:05:00,3,DL8517,DL,Delta Airlines,166463,244810,620812
98,ATL,CDG,15:30:00,0,14:40:00,06:10:00,1,DL82,DL,Delta Airlines,166463,417185,714970
99,ATL,CDG,15:30:00,1,14:40:00,06:10:00,2,DL82,DL,Delta Airlines,166463,243873,681208
100,ATL,AMS,20:15:00,1,14:20:00,10:35:00,2,VS3948,VS,Virgin Atlantic,106112,219544,477974
101,ATL,AMS,20:15:00,6,14:20:00,10:35:00,0,VS3948,VS,Virgin Atlantic,106112,226253,625056
102,ATL,AMS,15:20:00,1,14:35:00,05:55:00,2,VS4054,VS,Virgin Atlantic,106112,219544,523210
103,ATL,AMS,17:35:00,6,14:35:00,08:10:00,0,VS3932,VS,Virgin Atlantic,106112,226253,625056
104,ATL,AMS,17:35:00,1,14:35:00,08:10:00,2,VS3932,VS,Virgin Atlantic,106112,219544,493213
105,ATL,AMS,15:20:00,6,14:35:00,05:55:00,0,VS4054,VS,Virgin Atlantic,106112,226253,625056
106,ATL,AMS,20:15:00,4,14:20:00,10:35:00,5,VS3948,VS,Virgin Atlantic,111489,324194,586415
107,ATL,AMS,15:20:00,4,14:35:00,05:55:00,5,VS4054,VS,Virgin Atlantic,111489,324676,648578
108,ATL,AMS,17:35:00,4,14:35:00,08:10:00,5,VS3932,VS,Virgin Atlantic,111489,387952,508080
109,ATL,AMS,22:40:00,6,14:15:00,12:55:00,0,DL9375,DL,Delta Airlines,162960,546946,707062
110,ATL,AMS,20:15:00,6,14:20:00,10:35:00,0,DL74,DL,Delta Airlines,162960,226253,802862
111,ATL,AMS,20:15:00,0,14:20:00,10:35:00,1,VS3948,VS,Virgin Atlantic,162960,225034,746949
112,ATL,AMS,17:35:00,0,14:35:00,08:10:00,1,VS3932,VS,Virgin Atlantic,162960,225034,625056
113,ATL,AMS,15:20:00,0,14:35:00,05:55:00,1,VS4054,VS,Virgin Atlantic,162960,225034,872976
114,ATL,AMS,15:20:00,2,14:35:00,05:55:00,3,VS4054,VS,Virgin Atlantic,162960,227156,927746
115,ATL,AMS,22:40:00,0,14:15:00,12:55:00,1,DL9375,DL,Delta Airlines,163568,491744,968001
116,ATL,AMS,20:15:00,0,14:20:00,10:35:00,1,DL74,DL,Delta Airlines,163568,227156,620812
117,ATL,AMS,20:15:00,2,14:20:00,10:35:00,3,VS3948,VS,Virgin Atlantic,163568,227156,705842
118,ATL,AMS,20:15:00,1,14:20:00,10:35:00,2,DL74,DL,Delta Airlines,163568,472025,674264
119,ATL,AMS,17:35:00,2,14:35:00,08:10:00,3,VS3932,VS,Virgin Atlantic,163568,227156,916105
120,ATL,AMS,15:20:00,1,14:35:00,05:55:00,2,DL70,DL,Delta Airlines,163568,416098,823183
121,ATL,AMS,17:35:00,0,14:35:00,08:10:00,1,DL72,DL,Delta Airlines,163568,227156,876406
122,ATL,AMS,15:20:00,0,14:35:00,05:55:00,1,DL70,DL,Delta Airlines,163568,227156,620812
123,ATL,AMS,17:35:00,6,14:35:00,08:10:00,0,DL72,DL,Delta Airlines,163568,226253,780430
124,ATL,AMS,15:20:00,2,14:35:00,05:55:00,3,DL70,DL,Delta Airlines,163568,227156,532900
125,ATL,DFW,08:00:00,5,01:22:00,09:22:00,5,NK233,NK,Spirit Airlines,7941,25943,43220
126,ATL,DFW,08:00:00,4,01:22:00,09:22:00,4,NK233,NK,Spirit Airlines,7941,21773,31906
127,ATL,DFW,13:46:00,5,01:18:00,15:04:00,5,F91551,F9,Frontier Airlines,7978,25129,37382
128,ATL,DFW,08:00:00,1,01:22:00,09:22:00,1,NK233,NK,Spirit Airlines,10631,28328,59217
129,ATL,DFW,08:00:00,2,01:22:00,09:22:00,2,NK233,NK,Spirit Airlines,10631,35212,46355
130,ATL,DFW,08:00:00,3,01:22:00,09:22:00,3,NK233,NK,Spirit Airlines,10631,30831,56923
131,ATL,DFW,14:31:00,2,01:22:00,15:53:00,2,F91551,F9,Frontier Airlines,10667,30975,45452
132,ATL,DFW,14:27:00,4,01:22:00,15:49:00,4,F91551,F9,Frontier Airlines,12101,34791,61652
133,ATL,DFW,14:19:00,0,01:22:00,15:41:00,0,F91551,F9,Frontier Airlines,12818,37165,58859
134,ATL,DFW,08:00:00,0,01:22:00,09:22:00,0,NK233,NK,Spirit Airlines,14215,42296,85028
135,ATL,DFW,08:00:00,6,01:22:00,09:22:00,6,NK233,NK,Spirit Airlines,14215,40066,58658
136,ATL,DFW,22:45:00,4,01:13:00,23:58:00,4,DL1002,DL,Delta Airlines,16402,56531,90280
137,ATL,DFW,22:45:00,5,01:13:00,23:58:00,5,DL1002,DL,Delta Airlines,16458,51896,83550
138,ATL,DFW,12:32:00,5,01:17:00,13:49:00,5,AA982,AA,American Airlines,16458,54833,85864
139,ATL,DFW,10:22:00,5,01:18:00,11:40:00,5,AA2778,AA,American Airlines,16458,54618,79621
140,ATL,DFW,10:22:00,6,01:18:00,11:40:00,6,AA2778,AA,American Airlines,16458,47631,89077
141,ATL,DFW,08:00:00,5,01:19:00,09:19:00,5,AA1567,AA,American Airlines,16458,43620,72136
142,ATL,DFW,14:28:00,5,01:20:00,15:48:00,5,AA980,AA,American Airlines,16458,43567,97582
143,ATL,FRA,17:45:00,0,14:55:00,08:40:00,1,VS3849,VS,Virgin Atlantic,107990,224697,578749
144,ATL,FRA,17:45:00,2,14:55:00,08:40:00,3,VS3849,VS,Virgin Atlantic,107990,224697,625056
145,ATL,FRA,17:45:00,3,14:55:00,08:40:00,4,VS3849,VS,Virgin Atlantic,107990,346891,1348021
146,ATL,FRA,17:45:00,1,14:55:00,08:40:00,2,VS3849,VS,Virgin Atlantic,107990,226562,732668
147,ATL,FRA,17:45:00,5,14:55:00,08:40:00,6,VS3849,VS,Virgin Atlantic,113462,311198,458022
148,ATL,FRA,17:45:00,6,14:55:00,08:40:00,0,VS3849,VS,Virgin Atlantic,113462,387218,1134566
149,ATL,FRA,16:05:00,6,14:55:00,07:00:00,0,UA8830,UA,United Airlines,164360,198872,903040
150,ATL,FRA,16:05:00,5,14:55:00,07:00:00,6,UA8830,UA,United Airlines,164940,518859,618416
151,ATL,FRA,16:05:00,6,14:55:00,07:00:00,0,LH445,LH,Lufthansa,165004,197279,794661
152,ATL,FRA,16:05:00,5,14:55:00,07:00:00,6,LH445,LH,Lufthansa,165004,197279,617811
153,ATL,FRA,16:05:00,2,14:55:00,07:00:00,3,UA8830,UA,United Airlines,166399,573298,735992
154,ATL,FRA,16:05:00,0,14:55:00,07:00:00,1,UA8830,UA,United Airlines,166399,240032,745400
155,ATL,FRA,16:05:00,3,14:55:00,07:00:00,4,UA8830,UA,United Airlines,166399,184423,780865
156,ATL,FRA,16:05:00,2,14:55:00,07:00:00,3,LH445,LH,Lufthansa,166463,243537,879173
157,ATL,FRA,17:45:00,3,14:55:00,08:40:00,4,DL14,DL,Delta Airlines,166463,512002,1343778
158,ATL,FRA,17:45:00,2,14:55:00,08:40:00,3,DL14,DL,Delta Airlines,166463,475079,620812
159,ATL,FRA,17:45:00,0,14:55:00,08:40:00,1,DL14,DL,Delta Airlines,166463,465004,800569
160,ATL,FRA,17:45:00,1,14:55:00,08:40:00,2,DL14,DL,Delta Airlines,166463,226562,952650
161,ATL,FRA,16:05:00,0,14:55:00,07:00:00,1,LH445,LH,Lufthansa,166463,243537,964862
162,ATL,FRA,16:05:00,3,14:55:00,07:00:00,4,LH445,LH,Lufthansa,167103,185575,731053
163,ATL,FRA,17:45:00,4,14:55:00,08:40:00,5,VS3849,VS,Virgin Atlantic,170392,551084,847856
164,ATL,FRA,17:45:00,4,14:55:00,08:40:00,5,DL14,DL,Delta Airlines,171024,456428,843613
165,ATL,FRA,17:45:00,5,14:55:00,08:40:00,6,DL14,DL,Delta Airlines,171024,570231,1003801
166,ATL,FRA,17:45:00,6,14:55:00,08:40:00,0,DL14,DL,Delta Airlines,171024,461913,1180391
167,ATL,IST,22:10:00,2,17:30:00,15:40:00,3,TK32,TK,Turkish Airlines,116648,388648,312122
168,ATL,IST,22:10:00,0,17:30:00,15:40:00,1,TK32,TK,Turkish Airlines,116648,373211,309656
169,ATL,IST,22:10:00,1,17:30:00,15:40:00,2,TK32,TK,Turkish Airlines,116648,330404,309656
170,ATL,IST,22:10:00,3,17:30:00,15:40:00,4,TK32,TK,Turkish Airlines,120170,410157,529508
171,ATL,IST,22:10:00,6,17:30:00,15:40:00,0,TK32,TK,Turkish Airlines,120852,388493,483335
172,ATL,IST,22:10:00,5,17:30:00,15:40:00,6,TK32,TK,Turkish Airlines,121051,366517,360683
173,ATL,IST,22:10:00,4,17:30:00,15:40:00,5,TK32,TK,Turkish Airlines,121051,339802,322238
174,ATL,DEN,06:55:00,6,01:20:00,08:15:00,6,F9421,F9,Frontier Airlines,18245,53351,83629
175,ATL,DEN,21:03:00,6,01:27:00,22:30:00,6,F9419,F9,Frontier Airlines,18245,61758,87049
176,ATL,DEN,07:05:00,5,01:15:00,08:20:00,5,F9421,F9,Frontier Airlines,19248,56376,83160
177,ATL,DEN,06:35:00,3,01:20:00,07:55:00,3,F9421,F9,Frontier Airlines,19248,63832,102387
178,ATL,DEN,06:51:00,4,01:20:00,08:11:00,4,F9421,F9,Frontier Airlines,19248,53431,85288
179,ATL,DEN,21:04:00,4,01:27:00,22:31:00,4,F9419,F9,Frontier Airlines,19248,48868,83397
180,ATL,DEN,21:42:00,5,01:27:00,23:09:00,5,F9419,F9,Frontier Airlines,19248,63848,84916
181,ATL,DEN,20:48:00,3,01:28:00,22:16:00,3,F9419,F9,Frontier Airlines,19248,52325,81375
182,ATL,DEN,07:05:00,1,01:15:00,08:20:00,1,F9421,F9,Frontier Airlines,21619,68534,88658
183,ATL,DEN,06:57:00,2,01:20:00,08:17:00,2,F9421,F9,Frontier Airlines,21619,56266,90621
184,ATL,DEN,06:55:00,0,01:20:00,08:15:00,0,F9421,F9,Frontier Airlines,21619,75654,106730
185,ATL,DEN,21:08:00,1,01:27:00,22:35:00,1,F9419,F9,Frontier Airlines,21619,62613,107995
186,ATL,DEN,21:09:00,2,01:27:00,22:36:00,2,F9419,F9,Frontier Airlines,21619,68969,95871
187,ATL,DEN,21:08:00,0,01:27:00,22:35:00,0,F9419,F9,Frontier Airlines,21619,58041,96543
188,ATL,DEN,08:31:00,5,01:20:00,09:51:00,5,UA340,UA,United Airlines,23636,30308,140141
189,ATL,DEN,22:36:00,4,01:13:00,23:49:00,4,DL1474,DL,Delta Airlines,23676,38883,97005
190,ATL,DEN,20:50:00,6,01:13:00,22:03:00,6,DL511,DL,Delta Airlines,23676,34639,136613
191,ATL,DEN,22:36:00,6,01:13:00,23:49:00,6,DL1474,DL,Delta Airlines,23676,38034,123240
192,ATL,DEN,20:50:00,4,01:13:00,22:03:00,4,DL511,DL,Delta Airlines,23676,38883,95527
193,ATL,DEN,20:50:00,5,01:14:00,22:04:00,5,DL511,DL,Delta Airlines,23682,35576,116067
194,ATL,DEN,12:35:00,1,01:03:00,13:38:00,1,DL846,DL,Delta Airlines,25971,89865,146235
195,ATL,DEN,08:10:00,0,01:07:00,09:17:00,0,DL818,DL,Delta Airlines,25971,80159,121174
196,ATL,DEN,20:50:00,1,01:13:00,22:03:00,1,DL511,DL,Delta Airlines,25971,81115,125441
197,ATL,DEN,20:50:00,0,01:13:00,22:03:00,0,DL511,DL,Delta Airlines,25971,83970,147390
198,ATL,DEN,22:36:00,0,01:13:00,23:49:00,0,DL1474,DL,Delta Airlines,25971,37780,107392
199,ATL,JFK,07:14:00,4,02:15:00,09:29:00,4,B6920,B6,Jetblue Airways,8830,22599,49343
200,ATL,JFK,17:04:00,0,02:25:00,19:29:00,0,B6720,B6,Jetblue Airways,11519,33034,55090
201,ATL,JFK,07:14:00,2,02:15:00,09:29:00,2,B6920,B6,Jetblue Airways,13312,43511,61481
202,ATL,JFK,07:14:00,1,02:15:00,09:29:00,1,B6920,B6,Jetblue Airways,13312,35208,71891
203,ATL,JFK,12:31:00,2,02:22:00,14:53:00,2,B6520,B6,Jetblue Airways,13312,45410,60450
204,ATL,JFK,19:28:00,1,02:26:00,21:54:00,1,B61320,B6,Jetblue Airways,13312,38021,71512
205,ATL,JFK,19:28:00,2,02:26:00,21:54:00,2,B61320,B6,Jetblue Airways,13312,45261,60685
206,ATL,JFK,17:04:00,2,02:25:00,19:29:00,2,B6720,B6,Jetblue Airways,14208,40110,80324
207,ATL,JFK,12:45:00,2,02:24:00,15:09:00,2,DL847,DL,Delta Airlines,15520,27425,66960
208,ATL,JFK,14:20:00,2,02:28:00,16:48:00,2,DL917,DL,Delta Airlines,15520,27425,70828
209,ATL,JFK,21:29:00,1,02:30:00,23:59:00,1,DL517,DL,Delta Airlines,15520,27647,88651
210,ATL,JFK,21:29:00,2,02:30:00,23:59:00,2,DL517,DL,Delta Airlines,15520,27425,89320
211,ATL,JFK,08:45:00,1,02:15:00,11:00:00,1,DL733,DL,Delta Airlines,15561,27424,83229
212,ATL,JFK,10:03:00,1,02:25:00,12:28:00,1,DL2269,DL,Delta Airlines,15561,27647,80580
213,ATL,JFK,21:29:00,0,02:30:00,23:59:00,0,DL517,DL,Delta Airlines,15561,27425,77802
214,ATL,JFK,08:45:00,2,02:15:00,11:00:00,2,DL733,DL,Delta Airlines,16458,45607,88993
215,ATL,JFK,10:03:00,2,02:25:00,12:28:00,2,DL2269,DL,Delta Airlines,16458,27425,90841
216,ATL,JFK,07:14:00,1,02:15:00,09:29:00,1,AA9141,AA,American Airlines,16674,46266,82842
217,ATL,JFK,19:28:00,2,02:26:00,21:54:00,2,AA9187,AA,American Airlines,16674,41705,71974
218,ATL,JFK,19:28:00,1,02:26:00,21:54:00,1,AA9187,AA,American Airlines,16674,50017,97997
219,ATL,JFK,21:29:00,5,02:30:00,23:59:00,5,DL517,DL,Delta Airlines,16893,29547,84968
220,ATL,JFK,19:45:00,5,02:31:00,22:16:00,5,DL860,DL,Delta Airlines,16893,29547,71899
221,ATL,JFK,18:25:00,5,02:35:00,21:00:00,5,DL526,DL,Delta Airlines,16893,29547,81981
222,ATL,JFK,18:25:00,4,02:35:00,21:00:00,4,DL526,DL,Delta Airlines,16893,50716,82103
223,ATL,JFK,17:04:00,5,02:25:00,19:29:00,5,B6720,B6,Jetblue Airways,16896,58328,93030
224,ATL,SFO,22:09:00,6,02:03:00,00:12:00,0,DL710,DL,Delta Airlines,43749,114131,228005
225,ATL,SFO,12:00:00,5,01:54:00,13:54:00,5,DL1677,DL,Delta Airlines,45326,142450,209611
226,ATL,SFO,12:00:00,6,01:54:00,13:54:00,6,DL1677,DL,Delta Airlines,45326,134280,238524
227,ATL,SFO,12:00:00,4,01:54:00,13:54:00,4,DL1677,DL,Delta Airlines,45326,124140,243573
228,ATL,SFO,08:34:00,5,01:59:00,10:33:00,5,DL715,DL,Delta Airlines,45326,132245,213117
229,ATL,SFO,08:34:00,4,01:59:00,10:33:00,4,DL715,DL,Delta Airlines,45326,147940,244159
230,ATL,SFO,22:09:00,4,02:03:00,00:12:00,5,DL710,DL,Delta Airlines,45326,62648,253092
231,ATL,SFO,10:00:00,6,02:03:00,12:03:00,6,DL824,DL,Delta Airlines,45326,118401,255443
232,ATL,SFO,22:09:00,5,02:03:00,00:12:00,6,DL710,DL,Delta Airlines,45326,156726,209583
233,ATL,SFO,10:00:00,4,02:03:00,12:03:00,4,DL824,DL,Delta Airlines,45326,62648,204107
234,ATL,SFO,10:00:00,5,02:03:00,12:03:00,5,DL824,DL,Delta Airlines,45326,129582,244581
235,ATL,SFO,14:50:00,4,02:04:00,16:54:00,4,DL753,DL,Delta Airlines,45326,121349,231134
236,ATL,SFO,14:50:00,6,02:04:00,16:54:00,6,DL753,DL,Delta Airlines,45326,116673,230344
237,ATL,SFO,19:25:00,4,02:05:00,21:30:00,4,DL1462,DL,Delta Airlines,45326,62648,270181
238,ATL,SFO,17:10:00,5,02:05:00,19:15:00,5,DL769,DL,Delta Airlines,45326,124045,271205
239,ATL,SFO,17:10:00,4,02:05:00,19:15:00,4,DL769,DL,Delta Airlines,45326,127301,259383
240,ATL,SFO,19:25:00,6,02:05:00,21:30:00,6,DL1462,DL,Delta Airlines,45326,114131,197034
241,ATL,SFO,17:10:00,6,02:05:00,19:15:00,6,DL769,DL,Delta Airlines,45326,129782,197470
242,ATL,SFO,15:25:00,5,02:07:00,17:32:00,5,DL753,DL,Delta Airlines,45326,136234,192762
243,ATL,SFO,19:32:00,4,02:13:00,21:45:00,4,UA211,UA,United Airlines,45380,55773,268345
