,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
59,DEL,MAA,13:45:00,2,02:50:00,16:35:00,2,UK839,UK,Vistara,10644,13090,54423
60,DEL,MAA,07:00:00,6,02:50:00,09:50:00,6,UK833,UK,Vistara,10644,11891,56508
61,DEL,MAA,07:00:00,5,02:50:00,09:50:00,5,UK833,UK,Vistara,10644,13090,30449
62,DEL,MAA,13:45:00,4,02:50:00,16:35:00,4,UK839,UK,Vistara,10644,16386,30609
63,DEL,MAA,13:45:00,5,02:50:00,16:35:00,5,UK839,UK,Vistara,10644,11891,30449
64,DEL,MAA,20:40:00,2,02:55:00,23:35:00,2,AI540,AI,Air India,10646,27022,30622
65,DEL,MAA,09:45:00,0,02:55:00,12:40:00,0,AI429,AI,Air India,10646,27937,30622
66,DEL,MAA,20:40:00,6,02:55:00,23:35:00,6,AI540,AI,Air India,10646,31545,63513
67,DEL,MAA,20:40:00,4,02:55:00,23:35:00,4,AI540,AI,Air India,10646,36308,60446
68,DEL,MAA,20:40:00,5,02:55:00,23:35:00,5,AI540,AI,Air India,10646,27566,42720
69,DEL,MAA,20:40:00,0,02:55:00,23:35:00,0,AI540,AI,Air India,10646,28818,30622
70,DEL,MAA,20:40:00,1,02:55:00,23:35:00,1,AI540,AI,Air India,10646,33166,30622
71,DEL,MAA,09:45:00,3,02:55:00,12:40:00,3,AI429,AI,Air India,10646,31090,46743
72,DEL,MAA,09:45:00,1,02:55:00,12:40:00,1,AI429,AI,Air India,10646,30489,56497
73,DEL,MAA,09:45:00,2,02:55:00,12:40:00,2,AI429,AI,Air India,10646,36971,58536
74,DEL,COK,04:55:00,0,03:20:00,08:15:00,0,AI833,AI,Air India,11740,33704,33138
75,DEL,COK,15:55:00,0,03:15:00,19:10:00,0,UK885,UK,Vistara,11767,14288,33150
76,DEL,COK,05:30:00,5,03:10:00,08:40:00,5,UK883,UK,Vistara,11949,14288,37281
77,DEL,COK,05:30:00,6,03:10:00,08:40:00,6,UK883,UK,Vistara,11949,14288,49863
78,DEL,COK,05:30:00,3,03:10:00,08:40:00,3,UK883,UK,Vistara,11949,14288,49863
79,DEL,COK,05:30:00,1,03:10:00,08:40:00,1,UK883,UK,Vistara,11949,16565,32966
80,DEL,COK,04:55:00,2,03:20:00,08:15:00,2,AI833,AI,Air India,11951,32032,33138
81,DEL,COK,04:55:00,6,03:20:00,08:15:00,6,AI833,AI,Air India,11951,32152,33138
82,DEL,COK,04:55:00,1,03:20:00,08:15:00,1,AI833,AI,Air India,11951,41815,33138
83,DEL,COK,04:55:00,5,03:20:00,08:15:00,5,AI833,AI,Air India,11951,39056,33138
84,DEL,COK,04:55:00,4,03:20:00,08:15:00,4,AI833,AI,Air India,11951,34517,33138
85,DEL,COK,04:55:00,3,03:20:00,08:15:00,3,AI833,AI,Air India,11951,40756,33138
86,DEL,COK,05:50:00,5,03:05:00,08:55:00,5,6E6034,6E,IndiGo,12345,40907,49814
87,DEL,COK,05:50:00,2,03:05:00,08:55:00,2,6E6034,6E,IndiGo,12345,39002,73566
88,DEL,COK,05:50:00,0,03:05:00,08:55:00,0,6E6034,6E,IndiGo,12345,39359,53351
89,DEL,COK,05:50:00,1,03:05:00,08:55:00,1,6E6034,6E,IndiGo,12345,38021,66543
90,DEL,COK,05:50:00,3,03:05:00,08:55:00,3,6E6034,6E,IndiGo,12345,42061,60079
91,DEL,COK,05:50:00,6,03:05:00,08:55:00,6,6E6034,6E,IndiGo,12345,34069,61975
92,DEL,COK,05:50:00,4,03:05:00,08:55:00,4,6E6034,6E,IndiGo,12345,33270,59323
93,DEL,COK,17:55:00,3,03:10:00,21:05:00,3,6E359,6E,IndiGo,12345,33150,54421
94,DEL,COK,17:55:00,0,03:10:00,21:05:00,0,6E359,6E,IndiGo,12345,32094,58753
95,DEL,COK,17:55:00,1,03:10:00,21:05:00,1,6E359,6E,IndiGo,12345,32318,60654
96,DEL,COK,14:55:00,0,03:15:00,18:10:00,0,I5549,I5,AirAsia India,12346,39099,52197
97,DEL,COK,14:55:00,3,03:15:00,18:10:00,3,I5549,I5,AirAsia India,12346,38781,51265
98,DEL,COK,14:55:00,1,03:15:00,18:10:00,1,I5549,I5,AirAsia India,12346,42887,64466
99,DEL,HYD,21:55:00,6,02:20:00,00:15:00,0,SG162,SG,SpiceJet,6661,21695,31737
100,DEL,HYD,21:55:00,5,02:20:00,00:15:00,6,SG162,SG,SpiceJet,6661,19003,34733
101,DEL,HYD,05:45:00,5,02:00:00,07:45:00,5,G8423,G8,Go First,6979,18791,29282
102,DEL,HYD,05:45:00,6,02:00:00,07:45:00,6,G8423,G8,Go First,6979,21535,40311
103,DEL,HYD,18:55:00,6,02:10:00,21:05:00,6,G8422,G8,Go First,6979,23092,32725
104,DEL,HYD,18:55:00,5,02:10:00,21:05:00,5,G8422,G8,Go First,7502,23591,31442
105,DEL,HYD,07:10:00,1,02:15:00,09:25:00,1,AI560,AI,Air India,9023,26169,49098
106,DEL,HYD,07:20:00,3,02:05:00,09:25:00,3,UK829,UK,Vistara,9681,10933,46884
107,DEL,HYD,07:20:00,6,02:05:00,09:25:00,6,UK829,UK,Vistara,9681,11959,26375
108,DEL,HYD,14:45:00,2,02:15:00,17:00:00,2,UK899,UK,Vistara,9681,10760,50269
109,DEL,HYD,20:35:00,6,02:20:00,22:55:00,6,UK871,UK,Vistara,9681,10760,26375
110,DEL,HYD,07:10:00,5,02:15:00,09:25:00,5,AI560,AI,Air India,9781,32725,57981
111,DEL,HYD,07:10:00,6,02:15:00,09:25:00,6,AI560,AI,Air India,9781,32657,47694
112,DEL,HYD,07:20:00,4,02:05:00,09:25:00,4,UK829,UK,Vistara,9867,10933,26375
113,DEL,HYD,07:20:00,2,02:05:00,09:25:00,2,UK829,UK,Vistara,9867,10933,26250
114,DEL,HYD,21:55:00,3,02:20:00,00:15:00,4,SG162,SG,SpiceJet,9867,30605,53076
115,DEL,HYD,21:55:00,4,02:20:00,00:15:00,5,SG162,SG,SpiceJet,9867,31458,52441
116,DEL,HYD,21:55:00,1,02:20:00,00:15:00,2,SG162,SG,SpiceJet,9867,24692,47090
117,DEL,HYD,21:55:00,2,02:20:00,00:15:00,3,SG162,SG,SpiceJet,9867,28050,42226
118,DEL,HYD,09:45:00,1,02:05:00,11:50:00,1,AI542,AI,Air India,9868,31250,52188
119,DEL,HYD,09:45:00,4,02:05:00,11:50:00,4,AI542,AI,Air India,9868,33590,58211
120,DEL,HYD,21:30:00,2,02:15:00,23:45:00,2,AI839,AI,Air India,9868,27618,26427
121,DEL,HYD,07:10:00,2,02:15:00,09:25:00,2,AI560,AI,Air India,9868,29009,26427
122,DEL,HYD,07:10:00,4,02:15:00,09:25:00,4,AI560,AI,Air India,9868,28254,26427
123,DEL,HYD,20:35:00,2,02:20:00,22:55:00,2,UK871,UK,Vistara,10046,10760,47640
124,DEL,TRV,08:10:00,5,03:15:00,11:25:00,5,UK895,UK,Vistara,13546,15966,37281
125,DEL,TRV,08:10:00,2,03:15:00,11:25:00,2,UK895,UK,Vistara,13546,16638,69590
126,DEL,TRV,08:10:00,6,03:15:00,11:25:00,6,UK895,UK,Vistara,13546,15966,37281
127,DEL,TRV,08:10:00,0,03:15:00,11:25:00,0,UK895,UK,Vistara,13546,15966,54735
128,DEL,TRV,08:10:00,3,03:15:00,11:25:00,3,UK895,UK,Vistara,13546,15966,32966
129,DEL,TRV,08:10:00,4,03:15:00,11:25:00,4,UK895,UK,Vistara,13728,15966,59049
130,DEL,TRV,08:10:00,1,03:15:00,11:25:00,1,UK895,UK,Vistara,13728,15966,37281
131,DEL,TRV,15:00:00,3,03:15:00,18:15:00,3,AI801,AI,Air India,13731,36059,64344
132,DEL,TRV,15:00:00,5,03:15:00,18:15:00,5,AI801,AI,Air India,13731,44406,33738
133,DEL,TRV,15:00:00,4,03:15:00,18:15:00,4,AI801,AI,Air India,13731,35832,47626
134,DEL,TRV,15:00:00,2,03:15:00,18:15:00,2,AI801,AI,Air India,13731,46461,33138
135,DEL,TRV,15:00:00,1,03:15:00,18:15:00,1,AI801,AI,Air India,13731,40151,33138
136,DEL,TRV,15:00:00,0,03:15:00,18:15:00,0,AI801,AI,Air India,13928,42598,33138
137,DEL,TRV,21:35:00,6,03:15:00,00:50:00,0,6.00E+155,6E,IndiGo,14124,43039,68296
138,DEL,TRV,21:35:00,0,03:15:00,00:50:00,1,6.00E+155,6E,IndiGo,14124,45558,66978
139,DEL,TRV,21:35:00,5,03:15:00,00:50:00,6,6.00E+155,6E,IndiGo,14124,36838,80228
140,DEL,TRV,21:35:00,2,03:15:00,00:50:00,3,6.00E+155,6E,IndiGo,14124,37387,73978
141,DEL,TRV,21:35:00,1,03:15:00,00:50:00,2,6.00E+155,6E,IndiGo,14124,38139,80940
142,DEL,TRV,21:35:00,3,03:15:00,00:50:00,4,6.00E+155,6E,IndiGo,14124,35325,77389
143,DEL,TRV,21:35:00,4,03:15:00,00:50:00,5,6.00E+155,6E,IndiGo,14481,37034,70477
144,DEL,TRV,15:00:00,6,03:15:00,18:15:00,6,AI801,AI,Air India,15036,51420,33738
145,DEL,CCU,05:30:00,1,02:10:00,07:40:00,1,G8101,G8,Go First,5218,16992,29865
146,DEL,CCU,07:00:00,6,02:05:00,09:05:00,6,SG8263,SG,SpiceJet,5424,17599,29032
147,DEL,CCU,05:30:00,6,02:10:00,07:40:00,6,G8101,G8,Go First,5607,14361,22807
148,DEL,CCU,07:00:00,1,02:05:00,09:05:00,1,SG8263,SG,SpiceJet,6280,17359,32851
149,DEL,CCU,19:30:00,3,02:25:00,21:55:00,3,SG8254,SG,SpiceJet,6280,19746,33992
150,DEL,CCU,19:30:00,6,02:25:00,21:55:00,6,SG8254,SG,SpiceJet,6300,15991,33343
151,DEL,CCU,05:30:00,3,02:10:00,07:40:00,3,G8101,G8,Go First,6499,16402,30019
152,DEL,CCU,19:30:00,1,02:25:00,21:55:00,1,SG8254,SG,SpiceJet,6580,22094,34947
153,DEL,CCU,20:15:00,0,02:10:00,22:25:00,0,AI762,AI,Air India,8709,23296,30742
154,DEL,CCU,07:00:00,4,02:05:00,09:05:00,4,SG8263,SG,SpiceJet,8824,28792,48689
155,DEL,CCU,07:00:00,2,02:05:00,09:05:00,2,SG8263,SG,SpiceJet,8824,30828,42499
156,DEL,CCU,19:30:00,2,02:25:00,21:55:00,2,SG8254,SG,SpiceJet,8824,25767,49905
157,DEL,CCU,17:30:00,4,02:05:00,19:35:00,4,UK707,UK,Vistara,9344,30072,50589
158,DEL,CCU,07:30:00,3,02:05:00,09:35:00,3,UK705,UK,Vistara,9344,10931,45911
159,DEL,CCU,06:15:00,3,02:05:00,08:20:00,3,UK747,UK,Vistara,9344,10931,37947
160,DEL,CCU,07:30:00,4,02:05:00,09:35:00,4,UK705,UK,Vistara,9344,10931,41336
161,DEL,CCU,17:30:00,3,02:05:00,19:35:00,3,UK707,UK,Vistara,9344,11050,50318
162,DEL,CCU,07:30:00,5,02:05:00,09:35:00,5,UK705,UK,Vistara,9344,10758,30570
163,DEL,CCU,06:15:00,4,02:05:00,08:20:00,4,UK747,UK,Vistara,9344,10758,39238
164,DEL,CCU,15:55:00,4,02:10:00,18:05:00,4,UK737,UK,Vistara,9344,10878,50386
165,DEL,CCU,20:30:00,5,02:15:00,22:45:00,5,UK727,UK,Vistara,9344,10638,30570
166,DEL,CCU,06:15:00,5,02:05:00,08:20:00,5,UK747,UK,Vistara,9523,10758,30570
167,DEL,CCU,17:30:00,5,02:05:00,19:35:00,5,UK707,UK,Vistara,9523,10878,40375
168,DEL,CCU,15:55:00,5,02:10:00,18:05:00,5,UK737,UK,Vistara,9523,10878,40212
169,DEL,CCU,20:30:00,3,02:15:00,22:45:00,3,UK727,UK,Vistara,9523,10811,39888
170,DEL,AMD,05:45:00,5,01:40:00,07:25:00,5,SG8913,SG,SpiceJet,4745,14848,27207
171,DEL,AMD,17:05:00,5,01:20:00,18:25:00,5,G8717,G8,Go First,5100,14519,20697
172,DEL,AMD,05:20:00,5,01:35:00,06:55:00,5,G8719,G8,Go First,5100,12788,21583
173,DEL,AMD,20:20:00,5,01:35:00,21:55:00,5,G8713,G8,Go First,5100,17026,22640
174,DEL,AMD,18:10:00,5,01:30:00,19:40:00,5,SG921,SG,SpiceJet,5653,14657,23422
175,DEL,AMD,05:45:00,3,01:40:00,07:25:00,3,SG8913,SG,SpiceJet,7192,24168,36449
176,DEL,AMD,05:45:00,6,01:40:00,07:25:00,6,SG8913,SG,SpiceJet,7192,21009,32106
177,DEL,AMD,06:30:00,3,01:25:00,07:55:00,3,UK959,UK,Vistara,7712,9075,21881
178,DEL,AMD,21:20:00,3,01:40:00,23:00:00,3,UK929,UK,Vistara,7712,10034,20383
179,DEL,AMD,21:20:00,1,01:40:00,23:00:00,1,UK929,UK,Vistara,7712,10034,24697
180,DEL,AMD,18:10:00,2,01:45:00,19:55:00,2,UK969,UK,Vistara,7712,10034,26195
181,DEL,AMD,19:00:00,5,01:35:00,20:35:00,5,AI531,AI,Air India,7825,21607,22593
182,DEL,AMD,06:30:00,5,01:25:00,07:55:00,5,UK959,UK,Vistara,7891,9075,23798
183,DEL,AMD,06:30:00,2,01:25:00,07:55:00,2,UK959,UK,Vistara,7891,9075,26195
184,DEL,AMD,06:30:00,4,01:25:00,07:55:00,4,UK959,UK,Vistara,7891,9075,39242
185,DEL,AMD,18:10:00,0,01:30:00,19:40:00,0,SG921,SG,SpiceJet,7891,26589,37543
186,DEL,AMD,18:10:00,3,01:30:00,19:40:00,3,SG921,SG,SpiceJet,7891,26984,39697
187,DEL,AMD,18:10:00,2,01:30:00,19:40:00,2,SG921,SG,SpiceJet,7891,21317,35727
188,DEL,AMD,21:20:00,2,01:40:00,23:00:00,2,UK929,UK,Vistara,7891,10034,24697
189,DEL,AMD,21:20:00,0,01:40:00,23:00:00,0,UK929,UK,Vistara,7891,10034,24697
190,DEL,AMD,21:20:00,5,01:40:00,23:00:00,5,UK929,UK,Vistara,7891,10034,22300
191,DEL,AMD,18:10:00,0,01:45:00,19:55:00,0,UK969,UK,Vistara,7891,12851,22030
192,DEL,AMD,18:10:00,3,01:45:00,19:55:00,3,UK969,UK,Vistara,7891,10034,21881
193,DEL,AMD,19:00:00,2,01:35:00,20:35:00,2,AI531,AI,Air India,7894,21971,21993
194,DEL,AMD,19:00:00,4,01:35:00,20:35:00,4,AI531,AI,Air India,7894,21321,22905
195,DEL,CCJ,17:10:00,1,03:10:00,20:20:00,1,6E5913,6E,IndiGo,10184,32886,60806
196,DEL,CCJ,05:45:00,0,03:05:00,08:50:00,0,AI425,AI,Air India,10473,32674,27558
197,DEL,CCJ,05:45:00,2,03:05:00,08:50:00,2,AI425,AI,Air India,10473,32180,27558
198,DEL,CCJ,05:45:00,4,04:25:00,10:10:00,4,AI425,AI,Air India,10473,27571,60520
199,DEL,CCJ,05:45:00,1,04:25:00,10:10:00,1,AI425,AI,Air India,10473,28369,57625
200,DEL,CCJ,05:45:00,5,03:05:00,08:50:00,5,AI425,AI,Air India,11197,32425,27558
201,DEL,CCJ,05:45:00,6,04:25:00,10:10:00,6,AI425,AI,Air India,11197,33811,57984
202,DEL,CCJ,05:45:00,3,04:25:00,10:10:00,3,AI425,AI,Air India,11366,28921,56212
203,DEL,CCJ,17:10:00,2,03:10:00,20:20:00,2,6E5913,6E,IndiGo,11512,34803,48887
204,DEL,CCJ,17:10:00,0,03:10:00,20:20:00,0,6E5913,6E,IndiGo,11512,29764,55484
205,DEL,CCJ,17:10:00,6,03:10:00,20:20:00,6,6E5913,6E,IndiGo,12237,36887,55161
206,DEL,CCJ,17:10:00,5,03:10:00,20:20:00,5,6E5913,6E,IndiGo,12237,37755,69581
207,DEL,CCJ,17:10:00,3,03:10:00,20:20:00,3,6E5913,6E,IndiGo,13081,39840,59596
208,DEL,CCJ,17:10:00,4,03:10:00,20:20:00,4,6E5913,6E,IndiGo,19119,54339,82783
209,DEL,JAI,20:00:00,5,01:15:00,21:15:00,5,SG2978,SG,SpiceJet,4354,12169,23008
210,DEL,JAI,20:00:00,0,01:15:00,21:15:00,0,SG2978,SG,SpiceJet,4354,11886,21397
211,DEL,JAI,20:00:00,6,01:15:00,21:15:00,6,SG2978,SG,SpiceJet,4354,11785,18315
212,DEL,JAI,20:00:00,1,01:15:00,21:15:00,1,SG2978,SG,SpiceJet,4354,14787,24758
213,DEL,JAI,21:05:00,1,00:50:00,21:55:00,1,6E698,6E,IndiGo,4751,16355,27789
214,DEL,JAI,13:00:00,5,00:50:00,13:50:00,5,6.00E+212,6E,IndiGo,4751,14848,27501
215,DEL,JAI,13:00:00,2,00:50:00,13:50:00,2,6.00E+212,6E,IndiGo,4751,13153,22447
216,DEL,JAI,21:05:00,2,00:50:00,21:55:00,2,6E698,6E,IndiGo,4751,14758,21833
217,DEL,JAI,13:00:00,3,00:50:00,13:50:00,3,6.00E+212,6E,IndiGo,4751,13697,19349
218,DEL,JAI,21:05:00,6,00:50:00,21:55:00,6,6E698,6E,IndiGo,4751,16033,22084
219,DEL,JAI,21:05:00,5,00:50:00,21:55:00,5,6E698,6E,IndiGo,4751,13474,19603
220,DEL,JAI,13:00:00,4,00:50:00,13:50:00,4,6.00E+212,6E,IndiGo,4751,14259,21928
221,DEL,JAI,21:05:00,3,00:50:00,21:55:00,3,6E698,6E,IndiGo,4751,15927,21445
222,DEL,JAI,13:00:00,1,00:50:00,13:50:00,1,6.00E+212,6E,IndiGo,4751,11999,26071
223,DEL,JAI,21:05:00,4,00:50:00,21:55:00,4,6E698,6E,IndiGo,4751,15350,27586
224,DEL,JAI,13:00:00,6,00:50:00,13:50:00,6,6.00E+212,6E,IndiGo,4751,12758,25675
225,DEL,JAI,08:30:00,4,00:55:00,09:25:00,4,6E2175,6E,IndiGo,4751,15160,20332
226,DEL,JAI,08:30:00,6,00:55:00,09:25:00,6,6E2175,6E,IndiGo,4751,15343,21375
227,DEL,JAI,08:30:00,3,00:55:00,09:25:00,3,6E2175,6E,IndiGo,4751,16074,21208
228,DEL,JAI,08:30:00,2,00:55:00,09:25:00,2,6E2175,6E,IndiGo,4751,14339,22282
229,DEL,JAI,08:30:00,1,00:55:00,09:25:00,1,6E2175,6E,IndiGo,4751,13526,21923
230,DEL,JAI,08:30:00,5,00:55:00,09:25:00,5,6E2175,6E,IndiGo,4751,14967,21278
231,DEL,JAI,07:20:00,4,01:00:00,08:20:00,4,6E7403,6E,IndiGo,4751,15070,25454
232,DEL,JAI,07:20:00,2,01:00:00,08:20:00,2,6E7403,6E,IndiGo,4751,13726,21786
233,DEL,JAI,07:20:00,1,01:00:00,08:20:00,1,6E7403,6E,IndiGo,4751,12876,19655
234,DEL,GOI,15:10:00,5,02:30:00,17:40:00,5,SG957,SG,SpiceJet,6059,18366,34053
235,DEL,GOI,12:05:00,5,02:20:00,14:25:00,5,SG8171,SG,SpiceJet,6118,18084,32850
236,DEL,GOI,10:40:00,5,02:35:00,13:15:00,5,I5552,I5,AirAsia India,7161,18968,38874
237,DEL,GOI,10:50:00,5,02:40:00,13:30:00,5,G8286,G8,Go First,7756,22724,38884
238,DEL,GOI,09:00:00,5,02:35:00,11:35:00,5,SG8211,SG,SpiceJet,8361,22364,43728
239,DEL,GOI,15:10:00,1,02:30:00,17:40:00,1,SG957,SG,SpiceJet,9986,28556,58290
240,DEL,GOI,15:10:00,0,02:30:00,17:40:00,0,SG957,SG,SpiceJet,9986,28493,50387
241,DEL,GOI,15:10:00,6,02:30:00,17:40:00,6,SG957,SG,SpiceJet,9986,25048,53209
242,DEL,GOI,22:00:00,0,02:40:00,00:40:00,1,AI883,AI,Air India,9989,34293,33199
243,DEL,GOI,11:10:00,0,02:40:00,13:50:00,0,UK847,UK,Vistara,10647,12670,37340
244,DEL,GOI,11:10:00,5,02:40:00,13:50:00,5,UK847,UK,Vistara,10647,12670,37340
245,DEL,GOI,11:10:00,1,02:40:00,13:50:00,1,UK847,UK,Vistara,10647,13989,61249
246,DEL,GOI,18:40:00,1,02:40:00,21:20:00,1,UK855,UK,Vistara,10647,12011,45070
247,DEL,GOI,18:40:00,5,02:40:00,21:20:00,5,UK855,UK,Vistara,10647,12011,37340
248,DEL,GOI,18:40:00,0,02:40:00,21:20:00,0,UK855,UK,Vistara,10647,12011,37340
249,DEL,GOI,22:00:00,5,02:40:00,00:40:00,6,AI883,AI,Air India,10738,34127,33199
250,DEL,GOI,10:45:00,5,02:50:00,13:35:00,5,AI885,AI,Air India,10738,32902,48301
251,DEL,GOI,18:40:00,2,02:40:00,21:20:00,2,UK855,UK,Vistara,10833,12011,45070
252,DEL,GOI,22:00:00,1,02:40:00,00:40:00,2,AI883,AI,Air India,10835,33392,33199
253,DEL,GOI,22:00:00,4,02:40:00,00:40:00,5,AI883,AI,Air India,10835,28209,33199
254,DEL,GOI,22:00:00,3,02:40:00,00:40:00,4,AI883,AI,Air India,10835,27427,33200
255,DEL,GOI,22:00:00,2,02:40:00,00:40:00,3,AI883,AI,Air India,10835,35864,33199
256,DEL,LKO,13:35:00,3,01:10:00,14:45:00,3,UK641,UK,Vistara,6546,8596,18885
257,DEL,LKO,13:35:00,6,01:10:00,14:45:00,6,UK641,UK,Vistara,6546,8596,18885
